forecast_date,horizon_day,station_id,station_name,target,forecast,lower_bound,upper_bound,model_version
2024-01-01,1,0,Татнефть-АЗС-001,,,,,
2024-01-01,1,1,Татнефть-АЗС-002,,,,,
2024-01-01,1,2,Татнефть-АЗС-003,,,,,
2024-01-01,1,3,Татнефть-АЗС-004,,,,,
2024-01-01,1,4,Татнефть-АЗС-005,,,,,
2024-01-01,1,5,Татнефть-АЗС-006,,,,,
2024-01-01,1,6,Татнефть-АЗС-007,,,,,
2024-01-01,1,7,Татнефть-АЗС-008,,,,,
2024-01-01,1,8,Татнефть-АЗС-009,,,,,
2024-01-01,1,9,Татнефть-АЗС-010,,,,,
2024-01-01,1,10,Татнефть-АЗС-011,,,,,
2024-01-01,1,11,Татнефть-АЗС-012,,,,,
2024-01-01,1,12,Татнефть-АЗС-013,,,,,
2024-01-01,1,13,Татнефть-АЗС-014,,,,,
2024-01-01,1,14,Татнефть-АЗС-015,,,,,
2024-01-01,1,15,Татнефть-АЗС-016,,,,,
2024-01-01,1,16,Татнефть-АЗС-017,,,,,
2024-01-01,1,17,Татнефть-АЗС-018,,,,,
2024-01-01,1,18,Татнефть-АЗС-019,,,,,
2024-01-01,1,19,Татнефть-АЗС-020,,,,,
2024-01-01,1,20,Татнефть-АЗС-021,,,,,
2024-01-01,1,21,Татнефть-АЗС-022,,,,,
2024-01-01,1,22,Татнефть-АЗС-023,,,,,
2024-01-01,1,23,Татнефть-АЗС-024,,,,,
2024-01-01,1,24,Татнефть-АЗС-025,,,,,
2024-01-02,2,0,Татнефть-АЗС-001,,,,,
2024-01-02,2,1,Татнефть-АЗС-002,,,,,
2024-01-02,2,2,Татнефть-АЗС-003,,,,,
2024-01-02,2,3,Татнефть-АЗС-004,,,,,
2024-01-02,2,4,Татнефть-АЗС-005,,,,,
2024-01-02,2,5,Татнефть-АЗС-006,,,,,
2024-01-02,2,6,Татнефть-АЗС-007,,,,,
2024-01-02,2,7,Татнефть-АЗС-008,,,,,
2024-01-02,2,8,Татнефть-АЗС-009,,,,,
2024-01-02,2,9,Татнефть-АЗС-010,,,,,
2024-01-02,2,10,Татнефть-АЗС-011,,,,,
2024-01-02,2,11,Татнефть-АЗС-012,,,,,
2024-01-02,2,12,Татнефть-АЗС-013,,,,,
2024-01-02,2,13,Татнефть-АЗС-014,,,,,
2024-01-02,2,14,Татнефть-АЗС-015,,,,,
2024-01-02,2,15,Татнефть-АЗС-016,,,,,
2024-01-02,2,16,Татнефть-АЗС-017,,,,,
2024-01-02,2,17,Татнефть-АЗС-018,,,,,
2024-01-02,2,18,Татнефть-АЗС-019,,,,,
2024-01-02,2,19,Татнефть-АЗС-020,,,,,
2024-01-02,2,20,Татнефть-АЗС-021,,,,,
2024-01-02,2,21,Татнефть-АЗС-022,,,,,
2024-01-02,2,22,Татнефть-АЗС-023,,,,,
2024-01-02,2,23,Татнефть-АЗС-024,,,,,
2024-01-02,2,24,Татнефть-АЗС-025,,,,,
2024-01-03,3,0,Татнефть-АЗС-001,,,,,
2024-01-03,3,1,Татнефть-АЗС-002,,,,,
2024-01-03,3,2,Татнефть-АЗС-003,,,,,
2024-01-03,3,3,Татнефть-АЗС-004,,,,,
2024-01-03,3,4,Татнефть-АЗС-005,,,,,
2024-01-03,3,5,Татнефть-АЗС-006,,,,,
2024-01-03,3,6,Татнефть-АЗС-007,,,,,
2024-01-03,3,7,Татнефть-АЗС-008,,,,,
2024-01-03,3,8,Татнефть-АЗС-009,,,,,
2024-01-03,3,9,Татнефть-АЗС-010,,,,,
2024-01-03,3,10,Татнефть-АЗС-011,,,,,
2024-01-03,3,11,Татнефть-АЗС-012,,,,,
2024-01-03,3,12,Татнефть-АЗС-013,,,,,
2024-01-03,3,13,Татнефть-АЗС-014,,,,,
2024-01-03,3,14,Татнефть-АЗС-015,,,,,
2024-01-03,3,15,Татнефть-АЗС-016,,,,,
2024-01-03,3,16,Татнефть-АЗС-017,,,,,
2024-01-03,3,17,Татнефть-АЗС-018,,,,,
2024-01-03,3,18,Татнефть-АЗС-019,,,,,
2024-01-03,3,19,Татнефть-АЗС-020,,,,,
2024-01-03,3,20,Татнефть-АЗС-021,,,,,
2024-01-03,3,21,Татнефть-АЗС-022,,,,,
2024-01-03,3,22,Татнефть-АЗС-023,,,,,
2024-01-03,3,23,Татнефть-АЗС-024,,,,,
