timestamp,station_id,station_name,road_type,direction,settlement_size,distance_to_city_km,total_pumps,shop_area_m2,has_car_wash,has_cafe,has_shop,competitors_within_5km,corporate_customer_ratio,staff_engagement_score,customer_loyalty_score,temperature,weather_condition,precipitation_mm,visibility_km,wind_speed_ms,is_snow,is_rain,is_fog,traffic_Passengers_cars,traffic_Truck_short,traffic_Truck,traffic_Truck_long,traffic_Transporter,traffic_Undefined,total_traffic,sales_AI92,sales_AI95,sales_AI98,sales_DT_EURO,sales_DT_TANEKO,sales_DT_SUMMER,sales_DT_WINTER,total_fuel_sales,shop_напитки,shop_закуски,shop_автотовары,shop_кофе,shop_табак,shop_total_revenue,promotion_fuel_active,promotion_shop_active,promotion_cafe_active,ad_active,ad_channel,competitor_price_AI92,competitor_price_AI95,competitor_price_DT,price_AI92,price_AI95,price_AI98,price_DT_EURO,price_DT_TANEKO,price_DT_SUMMER,price_DT_WINTER,hour,day_of_week,week_of_year,month,quarter,season,is_weekend,is_holiday,holiday_name,is_rush_hour,is_night,day_name
2023-01-01 00:00:00,0,Татнефть-АЗС-001,федеральная трасса М7,транзит,сельская местность (<10k),37.9,23,150,0,1,1,2,0.19,58.6,52.1,-11.2,снег,1.6,4.4,2.6,1,0,0,9,2,4,3,1,0,22,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,ТВ,50.9,51.5,50.5,50.4,52.8,56.9,50.5,52.6,50.5,52.3,0,6,52,1,1,winter,1,1,Новый год,0,1,Sunday
2023-01-01 01:00:00,0,Татнефть-АЗС-001,федеральная трасса М7,транзит,сельская местность (<10k),37.9,23,150,0,1,1,2,0.19,58.6,52.1,-13.8,снег,2.9,2.4,4.9,1,0,0,10,2,4,4,1,0,24,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,50.8,55.0,48.0,50.4,52.8,56.9,50.5,52.6,50.5,52.3,1,6,52,1,1,winter,1,1,Новый год,0,1,Sunday
2023-01-01 02:00:00,0,Татнефть-АЗС-001,федеральная трасса М7,транзит,сельская местность (<10k),37.9,23,150,0,1,1,2,0.19,58.6,52.1,-3.0,ясно,0.0,11.7,1.9,0,0,0,17,4,7,6,2,1,38,3.0,3.0,1.0,3.0,1.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,51.4,54.2,48.4,50.4,52.8,56.9,50.5,52.6,50.5,52.3,2,6,52,1,1,winter,1,1,Новый год,0,1,Sunday
2023-01-01 03:00:00,0,Татнефть-АЗС-001,федеральная трасса М7,транзит,сельская местность (<10k),37.9,23,150,0,1,1,2,0.19,58.6,52.1,-14.3,снег,0.7,4.3,2.4,1,0,0,12,3,5,4,1,0,27,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,50.3,53.4,52.0,50.4,52.8,56.9,50.5,52.6,50.5,52.3,3,6,52,1,1,winter,1,1,Новый год,0,1,Sunday
2023-01-01 04:00:00,0,Татнефть-АЗС-001,федеральная трасса М7,транзит,сельская местность (<10k),37.9,23,150,0,1,1,2,0.19,58.6,52.1,-12.6,облачно,0.0,8.5,4.1,0,0,0,16,4,7,6,2,1,36,2.0,2.0,0.0,2.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,email,52.0,53.7,50.6,50.4,52.8,56.9,50.5,52.6,50.5,52.3,4,6,52,1,1,winter,1,1,Новый год,0,1,Sunday
2023-01-01 05:00:00,0,Татнефть-АЗС-001,федеральная трасса М7,транзит,сельская местность (<10k),37.9,23,150,0,1,1,2,0.19,58.6,52.1,-16.9,облачно,0.0,10.6,1.9,0,0,0,18,4,8,6,2,1,41,2.0,2.0,0.0,2.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,52.4,53.5,48.6,50.4,52.8,56.9,50.5,52.6,50.5,52.3,5,6,52,1,1,winter,1,1,Новый год,0,1,Sunday
2023-01-01 06:00:00,0,Татнефть-АЗС-001,федеральная трасса М7,транзит,сельская местность (<10k),37.9,23,150,0,1,1,2,0.19,58.6,52.1,-23.7,снег,2.4,5.1,2.3,1,0,0,74,12,21,18,6,3,136,10.0,12.0,3.0,3.0,1.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,50.8,54.2,52.4,50.4,52.8,56.9,50.5,52.6,50.5,52.3,6,6,52,1,1,winter,1,1,Новый год,0,0,Sunday
2023-01-01 07:00:00,0,Татнефть-АЗС-001,федеральная трасса М7,транзит,сельская местность (<10k),37.9,23,150,0,1,1,2,0.19,58.6,52.1,-10.4,снег,0.4,5.6,3.8,1,0,0,185,24,43,37,12,6,309,43.0,49.0,12.0,12.0,4.0,0.0,6.0,126.0,38.0,73.0,105.0,64.0,24.0,304.0,1,0,0,0,,50.8,52.3,50.3,50.4,52.8,56.9,50.5,52.6,50.5,52.3,7,6,52,1,1,winter,1,1,Новый год,1,0,Sunday
2023-01-01 08:00:00,0,Татнефть-АЗС-001,федеральная трасса М7,транзит,сельская местность (<10k),37.9,23,150,0,1,1,2,0.19,58.6,52.1,-15.6,снег,1.4,2.1,6.2,1,0,0,175,23,40,35,11,5,292,44.0,50.0,13.0,13.0,4.0,0.0,6.0,130.0,39.0,78.0,105.0,73.0,23.0,318.0,1,0,0,0,,50.9,52.4,51.7,50.4,52.8,56.9,50.5,52.6,50.5,52.3,8,6,52,1,1,winter,1,1,Новый год,1,0,Sunday
2023-01-01 09:00:00,0,Татнефть-АЗС-001,федеральная трасса М7,транзит,сельская местность (<10k),37.9,23,150,0,1,1,2,0.19,58.6,52.1,-17.3,снег,6.3,6.2,0.4,1,0,0,204,27,47,41,13,6,341,51.0,59.0,15.0,15.0,4.0,0.0,7.0,151.0,75.0,147.0,205.0,137.0,44.0,608.0,1,0,0,0,,51.9,50.2,49.7,50.4,52.8,56.9,50.5,52.6,50.5,52.3,9,6,52,1,1,winter,1,1,Новый год,1,0,Sunday
2023-01-01 10:00:00,0,Татнефть-АЗС-001,федеральная трасса М7,транзит,сельская местность (<10k),37.9,23,150,0,1,1,2,0.19,58.6,52.1,-12.2,снег,0.6,5.7,1.8,1,0,0,68,11,19,17,5,2,125,8.0,9.0,2.0,2.0,1.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,49.7,53.2,51.2,50.4,52.8,56.9,50.5,52.6,50.5,52.3,10,6,52,1,1,winter,1,1,Новый год,0,0,Sunday
2023-01-01 11:00:00,0,Татнефть-АЗС-001,федеральная трасса М7,транзит,сельская местность (<10k),37.9,23,150,0,1,1,2,0.19,58.6,52.1,-13.3,снег,1.2,6.3,2.3,1,0,0,68,11,19,17,5,2,125,8.0,9.0,2.0,2.0,1.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,email,50.2,53.5,49.9,50.4,52.8,56.9,50.5,52.6,50.5,52.3,11,6,52,1,1,winter,1,1,Новый год,0,0,Sunday
