timestamp,station_id,station_name,actual,total_traffic,ad_active,promotion_fuel_active,promotion_shop_active,hour,day_of_week,prediction,target,target_label,model_version
2023-12-01 00:00:00,0,Татнефть-АЗС-001,8.0,31,0,1,0,0,4,8.005949088679456,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 00:00:00,1,Татнефть-АЗС-002,2.0,12,0,1,0,0,4,1.748970729640707,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 00:00:00,10,Татнефть-АЗС-011,8.0,31,0,1,0,0,4,8.005949088679456,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 00:00:00,11,Татнефть-АЗС-012,8.0,30,0,1,0,0,4,7.424614875071293,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 00:00:00,12,Татнефть-АЗС-013,2.0,10,1,0,0,0,4,1.6190730165820908,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 00:00:00,13,Татнефть-АЗС-014,2.0,9,0,1,0,0,4,2.007150119160693,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 00:00:00,14,Татнефть-АЗС-015,6.0,22,0,1,0,0,4,5.991879781901689,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 00:00:00,15,Татнефть-АЗС-016,2.0,15,0,0,1,0,4,2.7415572209363694,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 00:00:00,16,Татнефть-АЗС-017,3.0,24,0,1,0,0,4,3.9102181159452956,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 00:00:00,17,Татнефть-АЗС-018,3.0,24,1,1,0,0,4,3.9102181159452956,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 00:00:00,18,Татнефть-АЗС-019,2.0,14,0,0,1,0,4,1.7672140830580418,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 00:00:00,19,Татнефть-АЗС-020,4.0,20,1,1,0,0,4,5.202289608818317,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 00:00:00,2,Татнефть-АЗС-003,3.0,21,0,0,1,0,4,2.7141023086978495,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 00:00:00,20,Татнефть-АЗС-021,3.0,20,1,0,1,0,4,2.610547300830908,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 00:00:00,21,Татнефть-АЗС-022,3.0,21,0,1,0,0,4,3.431841663519102,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 00:00:00,22,Татнефть-АЗС-023,2.0,9,0,1,1,0,4,2.007150119160693,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 00:00:00,23,Татнефть-АЗС-024,2.0,12,0,0,1,0,4,1.6190730165820908,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 00:00:00,24,Татнефть-АЗС-025,8.0,32,0,1,1,0,4,8.005949088679456,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 00:00:00,3,Татнефть-АЗС-004,3.0,21,0,0,0,0,4,2.724165565060147,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 00:00:00,4,Татнефть-АЗС-005,2.0,16,0,0,1,0,4,2.7415572209363694,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 00:00:00,5,Татнефть-АЗС-006,3.0,19,0,1,0,0,4,4.222586927786592,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 00:00:00,6,Татнефть-АЗС-007,2.0,10,0,1,0,0,4,2.007150119160693,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 00:00:00,7,Татнефть-АЗС-008,2.0,14,1,0,1,0,4,1.7672140830580418,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 00:00:00,8,Татнефть-АЗС-009,2.0,15,0,1,0,0,4,2.155291185636644,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 00:00:00,9,Татнефть-АЗС-010,0.0,7,0,1,1,0,4,2.007150119160693,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 01:00:00,0,Татнефть-АЗС-001,3.0,21,1,1,0,1,4,3.431841663519102,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 01:00:00,1,Татнефть-АЗС-002,3.0,15,0,1,0,1,4,2.921549891099368,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 01:00:00,10,Татнефть-АЗС-011,4.0,24,0,1,0,1,4,4.828353994562584,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 01:00:00,11,Татнефть-АЗС-012,8.0,34,0,1,0,1,4,8.206281385136046,total_fuel_sales,Продажи топлива,baseline_hgb_v2
2023-12-01 01:00:00,12,Татнефть-АЗС-013,2.0,9,0,0,0,1,4,1.6190730165820908,total_fuel_sales,Продажи топлива,baseline_hgb_v2
