timestamp,station_id,station_name,target,target_label,actual,prediction,model_version
2023-12-01 00:00:00,0,Татнефть-АЗС-001,total_fuel_sales,Продажи топлива TFT,8.0,9.332547187805176,tft_total_fuel_sales_v1
2023-12-01 00:00:00,1,Татнефть-АЗС-002,total_fuel_sales,Продажи топлива TFT,2.0,0.000765272241551429,tft_total_fuel_sales_v1
2023-12-01 00:00:00,2,Татнефть-АЗС-003,total_fuel_sales,Продажи топлива TFT,3.0,0.6658600568771362,tft_total_fuel_sales_v1
2023-12-01 00:00:00,3,Татнефть-АЗС-004,total_fuel_sales,Продажи топлива TFT,3.0,7.52756604924798e-05,tft_total_fuel_sales_v1
2023-12-01 00:00:00,4,Татнефть-АЗС-005,total_fuel_sales,Продажи топлива TFT,2.0,0.0006209359271451831,tft_total_fuel_sales_v1
2023-12-01 01:00:00,0,Татнефть-АЗС-001,total_fuel_sales,Продажи топлива TFT,3.0,0.9667277336120605,tft_total_fuel_sales_v1
2023-12-01 01:00:00,1,Татнефть-АЗС-002,total_fuel_sales,Продажи топлива TFT,3.0,0.31552979350090027,tft_total_fuel_sales_v1
2023-12-01 01:00:00,2,Татнефть-АЗС-003,total_fuel_sales,Продажи топлива TFT,8.0,10.497994422912598,tft_total_fuel_sales_v1
2023-12-01 01:00:00,3,Татнефть-АЗС-004,total_fuel_sales,Продажи топлива TFT,8.0,3.3294389247894287,tft_total_fuel_sales_v1
2023-12-01 01:00:00,4,Татнефть-АЗС-005,total_fuel_sales,Продажи топлива TFT,2.0,0.0007455585873685777,tft_total_fuel_sales_v1
2023-12-01 02:00:00,0,Татнефть-АЗС-001,total_fuel_sales,Продажи топлива TFT,8.0,8.794325828552246,tft_total_fuel_sales_v1
2023-12-01 02:00:00,1,Татнефть-АЗС-002,total_fuel_sales,Продажи топлива TFT,4.0,0.4519600570201874,tft_total_fuel_sales_v1
2023-12-01 02:00:00,2,Татнефть-АЗС-003,total_fuel_sales,Продажи топлива TFT,2.0,0.7495465874671936,tft_total_fuel_sales_v1
2023-12-01 02:00:00,3,Татнефть-АЗС-004,total_fuel_sales,Продажи топлива TFT,3.0,0.00016341821174137294,tft_total_fuel_sales_v1
2023-12-01 02:00:00,4,Татнефть-АЗС-005,total_fuel_sales,Продажи топлива TFT,2.0,0.0018521930323913693,tft_total_fuel_sales_v1
2023-12-01 03:00:00,0,Татнефть-АЗС-001,total_fuel_sales,Продажи топлива TFT,8.0,8.872103691101074,tft_total_fuel_sales_v1
2023-12-01 03:00:00,1,Татнефть-АЗС-002,total_fuel_sales,Продажи топлива TFT,2.0,0.0040009962394833565,tft_total_fuel_sales_v1
2023-12-01 03:00:00,2,Татнефть-АЗС-003,total_fuel_sales,Продажи топлива TFT,3.0,0.5562784671783447,tft_total_fuel_sales_v1
2023-12-01 03:00:00,3,Татнефть-АЗС-004,total_fuel_sales,Продажи топлива TFT,8.0,3.8931500911712646,tft_total_fuel_sales_v1
2023-12-01 03:00:00,4,Татнефть-АЗС-005,total_fuel_sales,Продажи топлива TFT,2.0,0.001877809059806168,tft_total_fuel_sales_v1
2023-12-01 04:00:00,0,Татнефть-АЗС-001,total_fuel_sales,Продажи топлива TFT,3.0,0.746781587600708,tft_total_fuel_sales_v1
2023-12-01 04:00:00,1,Татнефть-АЗС-002,total_fuel_sales,Продажи топлива TFT,2.0,0.004380947910249233,tft_total_fuel_sales_v1
2023-12-01 04:00:00,2,Татнефть-АЗС-003,total_fuel_sales,Продажи топлива TFT,5.0,9.607024192810059,tft_total_fuel_sales_v1
2023-12-01 04:00:00,3,Татнефть-АЗС-004,total_fuel_sales,Продажи топлива TFT,8.0,3.4888222217559814,tft_total_fuel_sales_v1
2023-12-01 04:00:00,4,Татнефть-АЗС-005,total_fuel_sales,Продажи топлива TFT,2.0,2.431089569654432e-06,tft_total_fuel_sales_v1
2023-12-01 05:00:00,0,Татнефть-АЗС-001,total_fuel_sales,Продажи топлива TFT,4.0,0.7883356213569641,tft_total_fuel_sales_v1
2023-12-01 05:00:00,1,Татнефть-АЗС-002,total_fuel_sales,Продажи топлива TFT,2.0,0.6693698167800903,tft_total_fuel_sales_v1
2023-12-01 05:00:00,2,Татнефть-АЗС-003,total_fuel_sales,Продажи топлива TFT,2.0,0.6226343512535095,tft_total_fuel_sales_v1
2023-12-01 05:00:00,3,Татнефть-АЗС-004,total_fuel_sales,Продажи топлива TFT,8.0,3.9842209815979004,tft_total_fuel_sales_v1
2023-12-01 05:00:00,4,Татнефть-АЗС-005,total_fuel_sales,Продажи топлива TFT,2.0,0.0018854965455830097,tft_total_fuel_sales_v1
2023-12-01 06:00:00,0,Татнефть-АЗС-001,total_fuel_sales,Продажи топлива TFT,30.0,49.37738800048828,tft_total_fuel_sales_v1
2023-12-01 06:00:00,1,Татнефть-АЗС-002,total_fuel_sales,Продажи топлива TFT,19.0,23.14824676513672,tft_total_fuel_sales_v1
2023-12-01 06:00:00,2,Татнефть-АЗС-003,total_fuel_sales,Продажи топлива TFT,32.0,49.92593002319336,tft_total_fuel_sales_v1
2023-12-01 06:00:00,3,Татнефть-АЗС-004,total_fuel_sales,Продажи топлива TFT,56.0,57.581703186035156,tft_total_fuel_sales_v1
2023-12-01 06:00:00,4,Татнефть-АЗС-005,total_fuel_sales,Продажи топлива TFT,11.0,10.491192817687988,tft_total_fuel_sales_v1
2023-12-01 07:00:00,0,Татнефть-АЗС-001,total_fuel_sales,Продажи топлива TFT,97.0,137.40370178222656,tft_total_fuel_sales_v1
2023-12-01 07:00:00,1,Татнефть-АЗС-002,total_fuel_sales,Продажи топлива TFT,97.0,112.20535278320312,tft_total_fuel_sales_v1
2023-12-01 07:00:00,2,Татнефть-АЗС-003,total_fuel_sales,Продажи топлива TFT,161.0,226.4894256591797,tft_total_fuel_sales_v1
2023-12-01 07:00:00,3,Татнефть-АЗС-004,total_fuel_sales,Продажи топлива TFT,249.0,325.28863525390625,tft_total_fuel_sales_v1
2023-12-01 07:00:00,4,Татнефть-АЗС-005,total_fuel_sales,Продажи топлива TFT,64.0,78.95340728759766,tft_total_fuel_sales_v1
2023-12-01 08:00:00,0,Татнефть-АЗС-001,total_fuel_sales,Продажи топлива TFT,159.0,239.76153564453125,tft_total_fuel_sales_v1
2023-12-01 08:00:00,1,Татнефть-АЗС-002,total_fuel_sales,Продажи топлива TFT,43.0,77.49873352050781,tft_total_fuel_sales_v1
2023-12-01 08:00:00,2,Татнефть-АЗС-003,total_fuel_sales,Продажи топлива TFT,173.0,223.63034057617188,tft_total_fuel_sales_v1
2023-12-01 08:00:00,3,Татнефть-АЗС-004,total_fuel_sales,Продажи топлива TFT,128.0,176.17457580566406,tft_total_fuel_sales_v1
2023-12-01 08:00:00,4,Татнефть-АЗС-005,total_fuel_sales,Продажи топлива TFT,135.0,147.66590881347656,tft_total_fuel_sales_v1
