timestamp,station_id,station_name,target,target_label,prediction,model_version
2024-01-01 00:00:00,0,Татнефть-АЗС-001,shop_total_revenue,Будущий прогноз выручки магазина TFT,0.0,tft_shop_total_revenue
2024-01-01 00:00:00,1,Татнефть-АЗС-002,shop_total_revenue,Будущий прогноз выручки магазина TFT,0.0,tft_shop_total_revenue
2024-01-01 00:00:00,2,Татнефть-АЗС-003,shop_total_revenue,Будущий прогноз выручки магазина TFT,0.0,tft_shop_total_revenue
2024-01-01 00:00:00,3,Татнефть-АЗС-004,shop_total_revenue,Будущий прогноз выручки магазина TFT,0.0,tft_shop_total_revenue
2024-01-01 00:00:00,4,Татнефть-АЗС-005,shop_total_revenue,Будущий прогноз выручки магазина TFT,0.0,tft_shop_total_revenue
2024-01-01 01:00:00,0,Татнефть-АЗС-001,shop_total_revenue,Будущий прогноз выручки магазина TFT,0.0,tft_shop_total_revenue
2024-01-01 01:00:00,1,Татнефть-АЗС-002,shop_total_revenue,Будущий прогноз выручки магазина TFT,0.0,tft_shop_total_revenue
2024-01-01 01:00:00,2,Татнефть-АЗС-003,shop_total_revenue,Будущий прогноз выручки магазина TFT,0.0,tft_shop_total_revenue
2024-01-01 01:00:00,3,Татнефть-АЗС-004,shop_total_revenue,Будущий прогноз выручки магазина TFT,0.0,tft_shop_total_revenue
2024-01-01 01:00:00,4,Татнефть-АЗС-005,shop_total_revenue,Будущий прогноз выручки магазина TFT,0.0,tft_shop_total_revenue
2024-01-01 02:00:00,0,Татнефть-АЗС-001,shop_total_revenue,Будущий прогноз выручки магазина TFT,0.0,tft_shop_total_revenue
2024-01-01 02:00:00,1,Татнефть-АЗС-002,shop_total_revenue,Будущий прогноз выручки магазина TFT,0.0,tft_shop_total_revenue
2024-01-01 02:00:00,2,Татнефть-АЗС-003,shop_total_revenue,Будущий прогноз выручки магазина TFT,0.0,tft_shop_total_revenue
2024-01-01 02:00:00,3,Татнефть-АЗС-004,shop_total_revenue,Будущий прогноз выручки магазина TFT,0.0,tft_shop_total_revenue
2024-01-01 02:00:00,4,Татнефть-АЗС-005,shop_total_revenue,Будущий прогноз выручки магазина TFT,0.0,tft_shop_total_revenue
2024-01-01 03:00:00,0,Татнефть-АЗС-001,shop_total_revenue,Будущий прогноз выручки магазина TFT,0.0,tft_shop_total_revenue
2024-01-01 03:00:00,1,Татнефть-АЗС-002,shop_total_revenue,Будущий прогноз выручки магазина TFT,0.0,tft_shop_total_revenue
2024-01-01 03:00:00,2,Татнефть-АЗС-003,shop_total_revenue,Будущий прогноз выручки магазина TFT,0.0,tft_shop_total_revenue
2024-01-01 03:00:00,3,Татнефть-АЗС-004,shop_total_revenue,Будущий прогноз выручки магазина TFT,0.0,tft_shop_total_revenue
2024-01-01 03:00:00,4,Татнефть-АЗС-005,shop_total_revenue,Будущий прогноз выручки магазина TFT,0.0,tft_shop_total_revenue
2024-01-01 04:00:00,0,Татнефть-АЗС-001,shop_total_revenue,Будущий прогноз выручки магазина TFT,0.0,tft_shop_total_revenue
2024-01-01 04:00:00,1,Татнефть-АЗС-002,shop_total_revenue,Будущий прогноз выручки магазина TFT,0.0,tft_shop_total_revenue
2024-01-01 04:00:00,2,Татнефть-АЗС-003,shop_total_revenue,Будущий прогноз выручки магазина TFT,0.0,tft_shop_total_revenue
