timestamp,station_id,station_name,target,target_label,prediction,model_version
2024-01-01 00:00:00,0,Татнефть-АЗС-001,total_fuel_sales,Будущий прогноз топлива TFT,0.29068300127983093,tft_total_fuel_sales_v1
2024-01-01 00:00:00,1,Татнефть-АЗС-002,total_fuel_sales,Будущий прогноз топлива TFT,0.0850728303194046,tft_total_fuel_sales_v1
2024-01-01 00:00:00,2,Татнефть-АЗС-003,total_fuel_sales,Будущий прогноз топлива TFT,2.4875565941329114e-05,tft_total_fuel_sales_v1
2024-01-01 00:00:00,3,Татнефть-АЗС-004,total_fuel_sales,Будущий прогноз топлива TFT,6.513561725616455,tft_total_fuel_sales_v1
2024-01-01 00:00:00,4,Татнефть-АЗС-005,total_fuel_sales,Будущий прогноз топлива TFT,1.548292743791535e-06,tft_total_fuel_sales_v1
2024-01-01 01:00:00,0,Татнефть-АЗС-001,total_fuel_sales,Будущий прогноз топлива TFT,0.8329712152481079,tft_total_fuel_sales_v1
2024-01-01 01:00:00,1,Татнефть-АЗС-002,total_fuel_sales,Будущий прогноз топлива TFT,0.7229752540588379,tft_total_fuel_sales_v1
2024-01-01 01:00:00,2,Татнефть-АЗС-003,total_fuel_sales,Будущий прогноз топлива TFT,7.74413537979126,tft_total_fuel_sales_v1
2024-01-01 01:00:00,3,Татнефть-АЗС-004,total_fuel_sales,Будущий прогноз топлива TFT,9.657366752624512,tft_total_fuel_sales_v1
2024-01-01 01:00:00,4,Татнефть-АЗС-005,total_fuel_sales,Будущий прогноз топлива TFT,7.794667311600278e-08,tft_total_fuel_sales_v1
2024-01-01 02:00:00,0,Татнефть-АЗС-001,total_fuel_sales,Будущий прогноз топлива TFT,14.727333068847656,tft_total_fuel_sales_v1
2024-01-01 02:00:00,1,Татнефть-АЗС-002,total_fuel_sales,Будущий прогноз топлива TFT,0.0007972940802574158,tft_total_fuel_sales_v1
2024-01-01 02:00:00,2,Татнефть-АЗС-003,total_fuel_sales,Будущий прогноз топлива TFT,0.0005150467623025179,tft_total_fuel_sales_v1
2024-01-01 02:00:00,3,Татнефть-АЗС-004,total_fuel_sales,Будущий прогноз топлива TFT,0.00016836871509440243,tft_total_fuel_sales_v1
2024-01-01 02:00:00,4,Татнефть-АЗС-005,total_fuel_sales,Будущий прогноз топлива TFT,0.002819919725880027,tft_total_fuel_sales_v1
2024-01-01 03:00:00,0,Татнефть-АЗС-001,total_fuel_sales,Будущий прогноз топлива TFT,15.552604675292969,tft_total_fuel_sales_v1
2024-01-01 03:00:00,1,Татнефть-АЗС-002,total_fuel_sales,Будущий прогноз топлива TFT,0.001611569314263761,tft_total_fuel_sales_v1
2024-01-01 03:00:00,2,Татнефть-АЗС-003,total_fuel_sales,Будущий прогноз топлива TFT,8.8183012008667,tft_total_fuel_sales_v1
